"taxon_ID","trait_ID","trait_value","agreement","references","taxon_name","taxon_author","taxon_lvl","link_source"
286,"3.3.2","endozoochorous",1,"10327","Rafflesiaceae","Dumort.","family","APG_IV"
286,"3.6.1","biotic",1,"10327","Rafflesiaceae","Dumort.","family","APG_IV"
287,"3.6.1","biotic",1,"10327","Euphorbiaceae","Juss.","family","APG_IV"
291,"3.6.1","biotic",1,"10327","Phyllanthaceae","Martinov","family","APG_IV"
292,"3.6.1","biotic",1,"10327","Geraniaceae","Juss.","family","APG_IV"
294,"3.6.1","biotic",1,"10327","Combretaceae","R.Br.","family","APG_IV"
295,"3.6.1","biotic",1,"10327","Lythraceae","J.St.-Hil.","family","APG_IV"
297,"3.6.1","biotic",1,"10327","Vochysiaceae","A.St.-Hil.","family","APG_IV"
298,"3.6.1","biotic",1,"10327","Myrtaceae","Juss.","family","APG_IV"
299,"3.6.1","biotic",1,"10327","Melastomataceae","Juss.","family","APG_IV"
301,"3.3.1","anemochorous",1,"10327","Alzateaceae","S.A.Graham","family","APG_IV"
301,"3.3.2","anemochorous",1,"10327","Alzateaceae","S.A.Graham","family","APG_IV"
302,"3.6.1","biotic",1,"10327","Penaeaceae","Sweet ex Guill.","family","APG_IV"
303,"3.3.1","zoochorous",1,"10327","Aphloiaceae","Takht.","family","APG_IV"
303,"3.3.2","endozoochorous",1,"10327","Aphloiaceae","Takht.","family","APG_IV"
305,"3.6.1","biotic",1,"10327","Strasburgeriaceae","Tiegh.","family","APG_IV"
306,"3.6.1","biotic",1,"10327","Staphyleaceae","Martinov","family","APG_IV"
308,"3.3.1","zoochorous",1,"10327","Stachyuraceae","J.Agardh","family","APG_IV"
308,"3.3.2","endozoochorous",1,"10327","Stachyuraceae","J.Agardh","family","APG_IV"
308,"3.6.1","biotic",1,"10327","Stachyuraceae","J.Agardh","family","APG_IV"
310,"3.6.1","abiotic",1,"10327","Picramniaceae","Fernando & Quinn","family","APG_IV"
311,"3.6.1","biotic",1,"10327","Gerrardinaceae","M.H.Alford","family","APG_IV"
312,"3.3.1","zoochorous",1,"10327","Petenaeaceae","Christenh. et al.","family","APG_IV"
312,"3.3.2","endozoochorous",1,"10327","Petenaeaceae","Christenh. et al.","family","APG_IV"
314,"3.3.1","zoochorous",1,"10327","Dipentodontaceae","Merr.","family","APG_IV"
314,"3.3.2","endozoochorous",1,"10327","Dipentodontaceae","Merr.","family","APG_IV"
317,"3.3.1","anemochorous",1,"10327","Kirkiaceae","Takht.","family","APG_IV"
317,"3.3.2","anemochorous",1,"10327","Kirkiaceae","Takht.","family","APG_IV"
317,"3.6.1","abiotic",1,"10327","Kirkiaceae","Takht.","family","APG_IV"
318,"3.6.1","biotic",1,"10327","Burseraceae","Kunth","family","APG_IV"
321,"3.6.1","biotic",1,"10327","Rutaceae","Juss.","family","APG_IV"
323,"3.6.1","biotic",1,"10327","Meliaceae","Juss.","family","APG_IV"
324,"3.3.1","zoochorous",1,"10327","Cytinaceae","A.Rich.","family","APG_IV"
324,"3.3.2","endozoochorous",1,"10327","Cytinaceae","A.Rich.","family","APG_IV"
324,"3.6.1","biotic",1,"10327","Cytinaceae","A.Rich.","family","APG_IV"
325,"3.3.1","zoochorous",1,"10327","Muntingiaceae","C.Bayer et al.","family","APG_IV"
325,"3.3.2","endozoochorous",1,"10327","Muntingiaceae","C.Bayer et al.","family","APG_IV"
325,"3.6.1","biotic",1,"10327","Muntingiaceae","C.Bayer et al.","family","APG_IV"
326,"3.3.1","hydrochorous",1,"10327","Neuradaceae","Kostel.","family","APG_IV"
326,"3.3.2","hydrochorous",1,"10327","Neuradaceae","Kostel.","family","APG_IV"
328,"3.3.1","zoochorous",1,"10327","Sphaerosepalaceae","Bullock","family","APG_IV"
328,"3.3.2","epizoochorous",1,"10327","Sphaerosepalaceae","Bullock","family","APG_IV"
330,"3.6.1","biotic",1,"10327","Bixaceae","Kunth","family","APG_IV"
331,"3.6.1","biotic",1,"10327","Cistaceae","Juss.","family","APG_IV"
332,"3.6.1","biotic",1,"10327","Sarcolaenaceae","Caruel","family","APG_IV"
333,"3.6.1","biotic",1,"10327","Dipterocarpaceae","Blume","family","APG_IV"
335,"3.6.1","biotic",1,"10327","Tropaeolaceae","Juss. ex DC.","family","APG_IV"
336,"3.6.1","biotic",1,"10327","Moringaceae","Martinov","family","APG_IV"
337,"3.6.1","biotic",1,"10327","Caricaceae","Dumort.","family","APG_IV"
338,"3.6.1","biotic",1,"10327","Limnanthaceae","R.Br.","family","APG_IV"
339,"3.3.1","anemochorous",1,"10327","Setchellanthaceae","Iltis","family","APG_IV"
339,"3.3.2","anemochorous",1,"10327","Setchellanthaceae","Iltis","family","APG_IV"
340,"3.3.1","zoochorous",1,"10327","Koeberliniaceae","Engl.","family","APG_IV"
340,"3.3.2","endozoochorous",1,"10327","Koeberliniaceae","Engl.","family","APG_IV"
341,"3.3.1","hydrochorous",1,"10327","Bataceae","Mart. ex Perleb","family","APG_IV"
341,"3.3.2","hydrochorous",1,"10327","Bataceae","Mart. ex Perleb","family","APG_IV"
341,"3.6.1","abiotic",1,"10327","Bataceae","Mart. ex Perleb","family","APG_IV"
